commissioner;category;persons;date;year;month;day;met_with;subject;link
Dombrovskis_cabinet;cabinet;Andrea Beltramello;26.04.2023;2023.0;4.0;26.0;H & M Hennes & Mauritz AB;Generalized System of Preference (GSP);https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=937959014241-02
Schmit_cabinet;cabinet;Ana Carla  Pereira;26.04.2023;2023.0;4.0;26.0;European Confederation of Independent Trade Unions, SINDICATO DE ENFERMERIA SATSE;EU Care Strategy;
Timmermans_cabinet;cabinet;Antoine Colombani, Aleksandra Tomczak, Riccardo Maggi;26.04.2023;2023.0;4.0;26.0;European Association of the Electricity Transmission and Distribution Equipment and Services Industry;Net Zero Industry Act and role of grid technologies in the green transition;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=90453504235-64
Simson_cabinet;cabinet;Barbara GLOWACKA;26.04.2023;2023.0;4.0;26.0;Confederation of European Paper Industries;To present the recent investments in energy efficiency improvements and switching to renewable energy.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=72279144480-58
Valean_cabinet;cabinet;Filip Alexandru Negreanu Arboreanu;26.04.2023;2023.0;4.0;26.0;TotalEnergies Electricité et Gaz France;Decarbonization of EU transport sector;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=625822526139-43
Dalli_cabinet;cabinet;Lesia Radelicki;26.04.2023;2023.0;4.0;26.0;GLOBSEC;Presentation on the Gender Equality Strategy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=903680223573-18
Schmit_cabinet;cabinet;Ana Carla  Pereira;27.04.2023;2023.0;4.0;27.0;Zoom Video Communications, Inc.;hybrid work;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=708754041138-77
Timmermans_cabinet;cabinet;Antoine Colombani;27.04.2023;2023.0;4.0;27.0;Bpifrance;"Net Zero Industry Act; green transition and SMEs";https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=950921712127-74
Simson_cabinet;cabinet;Ruud Kempener, Stefano Grassi;21.04.2023;2023.0;4.0;21.0;SUEZ Group;Energy from waste and water management - biomethane production from wastewater;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=27799842497-69
Dalli;commissioner;;26.04.2023;2023.0;4.0;26.0;Stichting The London Story;Presentation of their work on antiracism and against Islamophobia.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=723187946512-79
Dalli_cabinet;cabinet;Annelisa Cotone;26.04.2023;2023.0;4.0;26.0;Stichting The London Story;Presentation of their work on antiracism and against Islamophobia.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=723187946512-79
Simson;commissioner;;27.04.2023;2023.0;4.0;27.0;Kraftkvinnorna;Overview of the ongoing energy files and snapshot of the current situation.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=124351649983-11
Simson_cabinet;cabinet;Jaan Mannik;27.04.2023;2023.0;4.0;27.0;Kraftkvinnorna;Overview of the ongoing energy files and snapshot of the current situation.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=124351649983-11
Simson_cabinet;cabinet;Stefano Grassi;28.04.2023;2023.0;4.0;28.0;Trans Adriatic Pipeline;Expansion of the Southern Gas Corridor;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=570335813082-79
Jourova;commissioner;;03.04.2023;2023.0;4.0;3.0;Svaz českých knihkupců a nakladatelů, zapsaný spolek;European Media Freedom Act;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=293171528851-04
Jourova_cabinet;cabinet;Wojtek Talko;03.04.2023;2023.0;4.0;3.0;Meta Platforms Ireland Limited and its various subsidiaries;Code of Practice, countering disinformation;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=28666427835-74
Jourova_cabinet;cabinet;Marie Frenay;03.04.2023;2023.0;4.0;3.0;Svaz českých knihkupců a nakladatelů, zapsaný spolek;European Media Freedom Act;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=293171528851-04
Jourova_cabinet;cabinet;Marie Frenay;12.04.2023;2023.0;4.0;12.0;EU DisinfoLab;European Media Freedom Act;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=593474530364-05
Jourova_cabinet;cabinet;Wojtek Talko;13.04.2023;2023.0;4.0;13.0;Access Now Europe;Transparency of Political Advertising Regulation;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=241832823598-19
Jourova_cabinet;cabinet;Marie Frenay;20.04.2023;2023.0;4.0;20.0;ALLIANCE DE LA PRESSE D’INFORMATION GÉNÉRALE;European Media Freedom Act;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=917249537939-70
Jourova_cabinet;cabinet;Marie Frenay;20.04.2023;2023.0;4.0;20.0;Agence France-Presse;European Media Freedom Act;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=076448128904-35
Hahn_cabinet;cabinet;Maximilian Strotmann;20.04.2023;2023.0;4.0;20.0;Access Partnership;Interoperability;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=467615113800-87
Jourova_cabinet;cabinet;Wojtek Talko, Simona Constantin;24.04.2023;2023.0;4.0;24.0;European Partnership for Democracy;Defence of Democracy, Foreign interference initiative;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=679535014238-83
Jourova_cabinet;cabinet;Marie Frenay;25.04.2023;2023.0;4.0;25.0;Conde Nast Holdings Limited;European Media Freedom Act, European Digital Pulishers;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=411131044251-94
Suica;commissioner;;25.04.2023;2023.0;4.0;25.0;The LEGO Group;The implementation of the EU Strategy on the rights of the child;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=236869539281-13
Jourova;commissioner;;26.04.2023;2023.0;4.0;26.0;Committee to Protect Journalists;Discuss findings of their latest report;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=370649919011-72
Jourova_cabinet;cabinet;Alvaro De Elera;26.04.2023;2023.0;4.0;26.0;VEP S.R.L.;Sanction violations within the EU;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=874095448041-73
